rating,text,title,date,city
5,Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on iPhone 15.,Awesome,Jan 2024,Meerut Division
5,"So beautiful, so elegant, just a vowww",Fabulous!,Nov 2023,Jaipur
5,Amezing camera and all over best phone,Wonderful,Nov 2024,Shajapur
5,Awesome,Fabulous!,Jan 2025,Hanumana
5,Awesome photography experience. Battery backup is good . Display is much better than 14 version.,Worth every penny,Jan 2024,Aizawl
4,Very nice,Good choice,Oct 2023,Matialihat
5,High quality camera Ajin V,Mind-blowing purchase,Oct 2023,Balaghat
5,"Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life. 60Hz display is a dealbreaker for some.Its not...",Excellent,Feb 2024,Chennai
5,Using this Iphone 15 from 1month and it has best Camera,Must buy!,Apr 2024,Agartala
5,Camera Quality Is Improved,Just wow!,Oct 2023,Bokajan
4,"9,486 Reviews 2,13,302 34,160 12","2,71,652 Ratings",,059
5,Awesome,Just wow!,Apr 2024,Tikamgarh
5,"Just loved the product , colour , design is wow and camera is amazing , just clicked first picture of my grandmother in portrait mode and results r here in front of you guys",Worth every penny,Feb 2024,Sarkaghat
5,Loved it,Brilliant,Feb 2024,Aurangabad
5,I love this phone. The camera is amazing its I am so happy Talim sk,Highly recommended,Dec 2023,Sikar
5,Just go for it.Amazing one.Beautiful camera with super fast processor bijaya mohanty,Worth every penny,May 2024,Baleshwar
5,Simply premium.,Awesome,Sep 2023,Paradip
4,Best mobile phone Camera quality is very nice Battery backup is very good Sound quality is amazing.,Worth the money,Oct 2023,Sultanpur
5,Totally happy! Camera 5 Battery 5 Display 5 Design 5,Brilliant,Oct 2023,Satara
5,best camera and battery is also very good In love with dynamic Island Type-c charging is very fast. Overall best phone AYUSH singh,Great product,Nov 2023,Dehradun
5,Nice mohit yadav,Classy product,Nov 2023,Mumbai
4,Nice product,Wonderful,May 2024,Darjiling District
5,A,Super!,Jun 2024,Burdwan
5,for me its 10 out of 10,Simply awesome,Dec 2023,Kolkata
4,Nice photo,Value-for-money,Aug 2024,Mumbai
5,Great!,Worth every penny,Feb 2024,Jabalpur
4,Nice phone good VinodKUMAR VinodKUMAR,Value-for-money,Mar 2024,Ganganagar District
5,Thanks Flipkart I m glad such a beautiful iPhone 15,Just wow!,Mar 2024,Hojai
5,Only 90fps is need And best phone of the year goes to this phone,Excellent,Jan 2024,Parasi
5,I am so happy....,Must buy!,Dec 2024,Kolkata
5,Great experience,Super!,Dec 2024,Chandigarh
4,Awesome camra quality superb camra,Really Nice,Oct 2023,Mohammadabad Ghazipur District
5,Awesome quality I am very happy. Thank you Flipkart.,Classy product,Dec 2023,Bareilly
5,Awesome,Classy product,Feb 2024,Chittoor District
5,Camera quality top notch,Perfect product!,Oct 2023,New Delhi
5,Simply,Best in the market!,Sep 2023,Mumbai
5,The photos clicked with the mobile just seems awesome and lively!!,Simply awesome,Sep 2024,Bhadreswar
5,Awesome phone powerful performance and battery backup are also very good no heating issue SONAL PAL,Great product,Oct 2023,Habra
5,"The iPhone 15 exceeded my expectations in every way possible. The sleek design, stunning display, and lightning-fast performance make it a standout device in the smartphone market. The camera quality is unparalleled, capturing every moment with incredible detail and clarity. Plus, the battery life is impressive, easily lasting me throughout the day. With the added bonus of a great deal and discount, purchasing the iPhone 15 from Flipkart was an absolute steal.",Mind-blowing purchase,Apr 2024,Bengaluru
5,Best for regular usage,Super!,Feb 2024,Chittoor District
5,This is my first iphone ever used loving it already this is worth it,Simply awesome,Sep 2023,Tirupati
5,Camera is just wow. All classes clicks are done at night....phone Performance is awesome.... Im writing now again for review...its really maintained its premium image,Classy product,Jan 2024,Delhi Division
5,moving from android to apple is a surreal experience. still apple could focus on more flexibility towards the apps.,Brilliant,Jan 2024,Agartala
5,Their is nothing to explain about Apple iPhone nowadays everyone knows when ur comes to iPhone 15 is just amazing,Terrific,Feb 2024,Bangalore Division
5,Nice,Awesome,Sep 2023,Navi Mumbai
5,Camera,Just wow!,Jan 2024,Bangalore
5,Simply wow wow wow,Wonderful,Jan 2024,New Delhi
4,Everything lovely Just for the first time u wont feel much difference bw pro and non pro model iphones.,Wonderful,Jan 2024,Aligarh
5,"I have recently switched from Android to ios, it does feel very strange at the beginning but now I am getting habitual to the ios It is really very nice and feels premium. The camera is also very nice...",Great product,Jun 2024,Panchkula
5,Absolutely gorgeous ANUP SINGH GAUTAM,Terrific purchase,Oct 2023,Ghaziabad
5,Camera is so good SYAM SUNDER,Wonderful,Jan 2024,Sangaria
5,48 megapixel is lit Thin bessels compared to 14 Lesser in weight Dynamic Island works perfectly Good battery backup My rating 55 SANDEEP SOMAN,Best in the market!,Sep 2023,Sipcot Industrial Park Sriprumbudur
4,Lesser in weight Dynamic Island works perfectly Good battery backup My rating 55,Thin bessels compared to 14,,
5,The camera quality is just awesome ..just like DSLR ABIR MODAK,Perfect product!,Feb 2024,Halisahar
5,best camera phone Krishna kishor,Best in the market!,Jan 2024,Patna
5,Switch from android to iPhone Just wow. Camera and battery backup is outstanding for daily use,Brilliant,Jan 2024,English Bazar
5,Nice Product Thanks for Flipkart Camera 1010 Battery 810 Display 1010,Classy product,Oct 2024,Hyderabad
5,Loved this product,Awesome,Jan 2024,Kurnool
5,Srasthanibedita,Wonderful,Dec 2024,Bengaluru
5,Great for photography nd videography Especially inbuilt 2x zoom helps a lot which is missing in previous basic models,Mind-blowing purchase,Sep 2024,Srikakulam
5,"This mobile is phenomenal, I like the camera most",Must buy!,Jan 2024,North Twenty Four Parganas District
5,It looks so good in my hand !.......WAU?,Fabulous!,Sep 2023,Dehradun
5,I was sceptical of online purchase but I was wrong I got what I ordered Best phone ever,Fabulous!,Jan 2024,Siliguri
5,Good Product VENKATESH REDDY,Simply awesome,Feb 2024,Bengaluru
5,Its performance is super and nice camera also a ok battery backup..,Fabulous!,Sep 2023,Chhindwara
5,Camera is good but not too good like other camera phone. Performance is good but missed 90hz display. Battery is good enough for a day use. Sound is quite awesome like no other phones Rest phone is good to go for.,Worth every penny,Feb 2024,Bhopal
5,Nice CHETAN TILWALIA,Must buy!,Apr 2024,Loni
5,Such a amazing phone RAHUL SEN,Excellent,Jan 2024,Guna
5,"Great Experience Flipkart I am giving 10 of 10 Camera, Sound, Screen... Transportation Mi note 9 pro Max to Iphone 15 . SHASHANK PATHAK",Great product,Jan 2024,Agra
5,Really its the best and richest design,Brilliant,Apr 2024,Salem
5,Best phone ever,Simply awesome,,New Delhi
4,Very nice product we loved the phone very much Naveen S,Good choice,Sep 2023,Bangalore
5,Absolutely premium product..just wow,Classy product,Jan 2024,Supaul
5,1010 I love this love it very good work jeet sikder,Brilliant,Jun 2024,Bagula
5,"Just upgraded from iphone 12 to 15 and I totally loved this 15 series. Camera- No doubt iphones camera are best of any other smartphone, primary camera is now 48mp which gives quite sharp images, 2x ... jay singh",Highly recommended,Oct 2023,Lucknow
5,As Expected PROSIT DAS,Worth every penny,Apr 2024,Hugli District
5,Pic,Super!,Oct 2023,Patna
5,Light weight phone. Camera and sound is fine and performance is highly appreciable.,Worth every penny,Feb 2024,Kolkata
5,A perfect n balanced phone . Was thinking of switching to ios from last two years and yeah its worth buying the black beauty .,Classy product,Jan 2024,Kuju
4,Writing this review after extensive usage. Hope it helps interested buyers decide. 1. Display- 45 Great display but limited to 60Hz in 2023-24 2. Camera- 45 Great cameras but no telephoto at th...,Worth the money,Mar 2024,Bally
4,"Coming from an iPhone 11, the upgrade is not completely unnecessary. I can see few daily improvements which impacts me personally. The battery back up is a good upgrade. The cameras are obviously bett...",Wonderful,Aug 2024,North Lakhimpur
5,Awesome...,Worth every penny,Jan 2024,Raipur
5,Very good quality dr sachchidanand pardeshi,Must buy!,May 2024,Sangli District
5,Just ok like any other premium android phone. Sound is just fantastic and face unlock feature is more convenient than fingerprint scanner. Battery backup is more than android 5000 mah battery. This is...,Value-for-money,Jan 2024,Naugachhia
5,Very nice product,Super!,May 2024,New Delhi
5,Brilliant,Super!,Dec 2024,Gangoh
5,I have been using this phone since two months. And this phone is amazing. Camera- 1010 Display- 1010 Performance- 1010 Battery- 9.510,Super!,Apr 2024,Milki
5,Performance super jithu reddy,Fabulous!,Jan 2024,Anantapur
5,Its amazing nd also the delivery boy was very humble.,Highly recommended,Oct 2023,New Delhi
5,Meet my expectations!,Terrific purchase,May 2024,Paschim Medinipur District
5,Best in class..! Superb camera and performance. Fine grip.,Terrific,Sep 2023,Aurangabad
5,I recently went on a trip with a friend who has S24 ultra but somehow we ended up clicking all the pictures with my Iphone 15. The camera is that good.,Classy product,Nov 2024,Karimganj
5,Abnish,Fabulous!,Jan 2024,Kanpur
5,"Arrived on launch day and after using it for a day, the iPhone 15 is AMAZING. After almost 5 years it was finally time for me to upgrade from my iPhone XR. Set up was smooth and seamless, especially using iCloud to transfer data over.The display is greatly improved, and it gets a lot brighter which is helpful outdoors. The dynamic island works smoothly even on the standard models 60Hz screen. This phones cameras take highly detailed photos even without a dedicated telephoto lens. In terms o...",Great product,Jan 2024,Gurgaon District
4,Mobile battery consumption very fast So that I charge 3 times to charge in a day,Really Nice,Oct 2024,Visakhapatnam
4,"Best phone i have ever used in terms of performance, photography and other features. Shailesh choudhari",Wonderful,Feb 2024,Hyderabad
5,Love the performance,Fabulous!,Jan 2024,New Delhi
5,Fantastic,Worth every penny,,New Delhi
5,Fully satisfied using iphone But battery drains fast as compared to any other phone.. subhabrata paul,Mind-blowing purchase,Oct 2024,Teliamura
5,I order smartphone from Flipkart. This is my 4th phone i order. I have had the best experience every time.,Terrific purchase,Sep 2024,Pune
5,awesome camera looks like Captured DSLR quality Sounds quality best Battery backup is good not better and best About performance i have no words,Worth every penny,May 2024,Siwan District
5,Coming from iphone 12 mini. Camera is definitely a upgrade over the previous generation. Design outside remains the same. Pastel colours with matte finish. The Dynamic Island is what i liked for the notification part. Processor of previous generation pro models. Overall a value for money among the 15 models. Got it a great deal in flipkart clubbing exchange and bank offers. Delivery was on time. KALPESH SHIRSEKAR,Must buy!,Sep 2023,Mumbai
5,Awesome,Fabulous!,Jan 2025,Hanumana
5,"Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life. 60Hz display is a dealbreaker for some.Its not much noticeable. Thank u Flipkart for the best deal and quick delivery.",Excellent,Feb 2024,Chennai
5,"I have recently switched from Android to ios, it does feel very strange at the beginning but now I am getting habitual to the ios It is really very nice and feels premium. The camera is also very nice. I am fully satisfied with this purchase.",Great product,Jun 2024,Panchkula
5,"Just upgraded from iphone 12 to 15 and I totally loved this 15 series. Camera- No doubt iphones camera are best of any other smartphone, primary camera is now 48mp which gives quite sharp images, 2x in portrait mode is definitely a game changer in base varient. Battery- 3349 mAH is quite better as compared to older versions. Performance- Apple improve performance by introducing A-16 bionic chip, no doubt performance is on top. Display- In display we get dynamic island which gives phone mo... jay singh",Highly recommended,Oct 2023,Lucknow
4,Writing this review after extensive usage. Hope it helps interested buyers decide. 1. Display- 45 Great display but limited to 60Hz in 2023-24 2. Camera- 45 Great cameras but no telephoto at this price segment but this time Apple really nailed it with the 15 series 24mp shots are very sharp and detailed 3. Performance- 55 One of the fastest SOC available right now 4. Battery- 35 Average battery life also charger not included in the box and still charges slowly with the 20w bric...,Worth the money,Mar 2024,Bally
4,"Coming from an iPhone 11, the upgrade is not completely unnecessary. I can see few daily improvements which impacts me personally. The battery back up is a good upgrade. The cameras are obviously better. The Dynamic Island is alright but not something I cannot live without. Face ID works smoother. I am not into games, so no comments on that. For a regular person, this phone is more than enough. And for people with other Apple devices, this is just an awesome part of the ecosystem.",Wonderful,Aug 2024,North Lakhimpur
5,"Just ok like any other premium android phone. Sound is just fantastic and face unlock feature is more convenient than fingerprint scanner. Battery backup is more than android 5000 mah battery. This is my frist iPhone, migrated from android due to chipset heating problem in Google tensor chip and Samsung exonys processsor.",Value-for-money,Jan 2024,Naugachhia
1,Worst experience ever!!!!,Worst experience ever!,Jan 2024,Noida
5,"Great purchase. Was heating up a little for first few use and while charging, but got normal afterwards. Like the design. Camera is great as expected. Happy with my purchase",Classy product,Mar 2024,Kharagpur
5,Nice product for ever,Terrific,Oct 2024,Baleshwar District
5,Good phone but almost same as iphone 14.,Awesome,Jan 2024,Patna
5,Best AAKASH KAUSHIK,Wonderful,Nov 2023,Faridabad
5,Nice photography Camera good But telephone lense missing Speaker Quality good but call Speaker not as good as compare to samsung S series device. Display above average as compare to samsung . Performance good Ashwani kumar,Worth every penny,Dec 2024,Gangoh
5,Excellent,Brilliant,Oct 2023,Kolkata
5,Excellent,Excellent,Feb 2024,Kolkata
5,"This iPhone 15 is simply amazing. Was dicey about ordering it online as I was concerned if it would be genuine. But I got the iPhone which was in perfect condition. Talking about the phone and features, the camera is great and the iOS user experience is brilliant, performance is amazing, although the battery drains out a bit fast but with proper settings that can be handled too. Overall its a great phone if you have the budget and its the best time to buy if youre considering switching fro...",Classy product,Jan 2024,Visakhapatnam
5,Everything performance good it is a apple brand tq Ravi kumar kasi,Terrific,Sep 2024,Tadepalligudem
5,Nice product,Just wow!,Oct 2024,Jaipur
5,The best in class.,Wonderful,Sep 2024,Raichur
5,EXCELLENT PRODUCT,Best in the market!,Feb 2024,Jhansi
5,I am sharing my review after using this mobile for 1 week.. really awesome and easy to use.. I like this mobile very much the only drawback is battery life,Best in the market!,Jan 2024,Pondicherry
5,"A great phone with quality display 60Hz, average to good battery backup, speaker same as 14, camera is very good in this segment, performance toooo good for this compact sized phone almost never heated much except for charging and bgmi though normal for every phone. Dynamic island animations are great though not a fan of it still better than notch. And design is amazing very premium.",Highly recommended,Oct 2023,Durgapur
5,I really liked it,Awesome,Oct 2024,Aluva
5,Nice... Manirathinam V,Classy product,Oct 2024,Chennai
5,Amazing Just go and buy it blindly if you have enough of money,Perfect product!,Sep 2023,Vishakhapatnam
5,One year use 90 battery health decreased.iam never updating software upgrades sound quality the best ever camera outdoor camera quality best Indoor full darkness handling very well nice weight management,Super!,,Thrissur District
5,All are good but iPhone can available to share data by any android is feature can be enable,Great product,Nov 2024,Mihona
5,Awesome battery backup. Best lowlight camera .,Highly recommended,Mar 2024,Gwalior
5,WOW - GreatiPhone,Super!,Jun 2024,Jodhpur District
5,"Upgraded from iPhone XS and it is really great! Display is very nice except the 60hz Volume is loud Cameras are the best in the segment New frosted back glass is actually very good, feels premium to hold and does not get smudged easily Overall a very nice package.",Awesome,May 2024,Vadodara
4,Good cameras and displays,Delightful,Oct 2024,Banswara
5,Very nice,Terrific,Feb 2024,Bengaluru
5,just like a Wow NISHA SHETTY,Awesome,Apr 2024,Kasaragod District
5,Awesome quality Vipul Kumar singh,Great product,Nov 2023,New Delhi
4,I upgraded from iPhone 13 to 15 and this phone is awesome worth the money go for it,Wonderful,Sep 2023,Chittoor District
1,"Phone is heating up too much, even after multiple software upgrades, not suggest to buy, please ignore A L",Utterly Disappointed,Oct 2023,Bangalore
5,Good my 2nd i phone G MOHAMMED SALEEM,Must buy!,May 2024,Bengaluru
5,Awesome phone Best in Class YASSIR ARAFAT ANSARI,Awesome,Nov 2024,Mumbai
5,Nothing to say if you are an iPhone lover then just go for it,Terrific purchase,Oct 2024,New Delhi
4,"Phone is good. Good battery backup , upgraded camera. But I feel refresh rate should be 90hz atleast.",Nice product,Jan 2024,Jajpur
5,my second iphone..and i love it..you can definitely trust flipkart.,Highly recommended,Dec 2024,New Delhi
2,Camera quality is very poor,Moderate,Nov 2024,Noida
5,Beautiful camera and also updated features for iPhone 15.,Best in the market!,Feb 2024,Hyderabad
5,Excellent product,Worth every penny,Oct 2024,Chandigarh
5,Awsm NOOR ALAM,Awesome,Jan 2024,Rampurhat
5,best phone ever,Terrific purchase,Mar 2024,New Delhi
5,"My Experience from January to till date was awesome, it gives you best performance in any features than other iPhones.",Terrific purchase,Apr 2024,Nashik
