rating,text,title,date
4,"6,583 Reviews 1,63,435 24,703","2,05,719 Ratings",
5,Super and cool photo,Mind-blowing purchase,Mar 2025
5,Such an great experience,Terrific,Oct 2025
5,with unbeatable video performance. Tip-top performance A18 Chip. best value offering.,Mind-blowing purchase,Nov 2025
5,such a beautiful color,Wonderful,Oct 2025
5,Doing good as of now!,Brilliant,May 2025
5,Value for money sarath kumar,Just wow!,Oct 2025
5,"Best phone, best feature charge, best performance, I love this iPhone 16.",Mind-blowing purchase,Jul 2025
5,Love the quality of pics it takes,Wonderful,Nov 2025
5,"Compact, easy to carry. Like it",Awesome,May 2025
5,iOS is always amazing.,Best in the market!,Oct 2024
5,Fell in love with the colour sai kumar,Just wow!,Apr 2025
4,Everything is fine except the battery should have been lasting longer and the new camera button Felt useless,Delightful,Apr 2025
5,Got it in just look awesome,Best in the market!,Jun 2025
5,Finally I got it and love it,Best in the market!,Jan 2025
5,Awesome product ashwin roy,Perfect product!,Oct 2024
5,Great experience with great camera,Awesome,Apr 2025
5,Govinda kumar,Simply awesome,Apr 2025
5,Recently changed a smooth ui and best experience,Perfect product!,Jan 2025
5,Upgraded 12mini Good battery life and performance Ultramarine the best one,Just wow!,May 2025
5,One of the best phone.,Super!,Aug 2025
5,"Bought the phone solely for battery performance and assuming camera of iPhones are always good. A bit of disappointment as I switched S22 Plus which offered great screen quality, excellent camera and Galaxy did wonders while iPhone 16 is not performing as expected in terms of battery and camera quality. 1. Touch screen 2. 3. Light weight",Terrific purchase,Jan 2025
5,Mind blowing pictures,Awesome,Jul 2025
5,received via Flipkart. Everything is perfect about this phone except battery backup. I think need to work on battery. amit kaundal,Classy product,Mar 2025
5,Everything is fantastic go for it,Terrific,Aug 2025
5,like it feel premium,Highly recommended,Jan 2025
5,Just wow its worth the price,Wonderful,Oct 2024
5,My wife 1st i phone thank you,Super!,Apr 2025
4,Battery gets drain in 6-7 hr with even just normal uses. Dont buy this phone. I got frustrated with this issue. Rishabh raj,Horrible,Jun 2025
5,and Bank offer on Flipkart.,Just wow!,Sep 2024
5,"Upgraded to the 16 12 and it is a great phone. looks and feels sooo good. The photos dont do enough justice to this variant. You definitely do not need to upgrade to this if you are having a 14 or a 15, unless is something that you do not want to live without. Camera is great, though not very sure of the thing, cuz all that is pretty much available on-screen . Also, got a great deal on the exchange and bank offer, so zero co...",A Great upgrade 12!,Sep 2024
5,Awesome product K,Must buy!,Oct 2024
4,"The design, build quality, battery backup are also good, sound quality is really impressive and Apple brand value, these are the pros in this mobile. 1.The display is not up to the mark, because the refresh rate only supports 60hz and the display is not vibrant. 2. The camera is also not very impressive just okay. 3. File sharing with android or windows literally headache.. 4. Signal reception is lacking.. 5. features are not useful and totally waste.",Wonderful,Nov 2025
5,Top notch camera quality and very good performance overall too good without any hesitation go for it,Highly recommended,Nov 2025
5,Love it no complaints!,Awesome,Aug 2025
5,My mom love the colour and the phone is amazing ajay,Awesome,Jun 2025
5,The display is absolutely crazy and also I can say that the haptics of the phone is super smooth but only concerned is that image editing ai is not good as,Awesome,Jun 2025
5,iPhone 16 is a wonderful cell phone . 48MP camera is outstanding. I bought 256GB model. I would recommend to buy the product.,Super!,Sep 2025
5,Wonderfully lightweight stuff. Worth purchasing. Improved speakers and a more seamless display. Incredibly cozy to use with one hand. Go for Teal colour.,Must buy!,Sep 2024
5,Colour is very good also camera placement Rahul yadav,Fabulous!,Sep 2024
5,iPhone 16 is best for those who not buy 15 series. And it has very best hand feel. Deepak kumar,Terrific,Jan 2025
5,Its a fake details I havent ordered yet But showing I phone jad ordered,Excellent,Jun 2025
5,Best for videography and also good for photos if you are interested in little bit editing . Look and feel of the phone is premium and top notch software experience . Battery backup is good considering the form factor and performance is also superb . Major problem is low refresh rate but I tink those who are going to buy they know it already . Overall a good buy if videography is a pr...,Brilliant,Jan 2025
5,Camera 1010 Battery 108 Display 1010 Design 1010 Performance 1010 Finally a in this price segment,Super!,Jan 2025
5,overall a perfect compact phone.,Best in the market!,Jan 2025
5,16. . . . . I 2021 . . . . .,Just wow!,Oct 2025
5,"This is best quality delivered always. When I was installing my backup , it became very hot during camera operation. But after the software update, gradually it became normal. Now it is working well. I also went to Imagine for a checkup and came to know that this is quite normal. Thats it. I hope after the Apple intelligence update we can have some new features and entertainment windows will open for us Thanks, for delivering with promise and safety. saswata sanyal",Perfect product!,Sep 2024
5,"Amazing device, everything is top notch jayata banerjee",Super!,Jan 2025
5,Bad camera quality at this range. Go for samsumg s25,Highly recommended,Jan 2025
4,"I have switched 6a to iPhone 16 , everything is good but camera is no match to pixel, even with 12 megapixel camera pixel 6a was much better.",Good quality product,May 2025
5,Premium experience,Super!,Nov 2025
5,Camera is very good but Im really missing a telephoto lens... However the 2x zoom is really lossless zoom and i loved it 1st time using i os... Switching ...its a bit difficult tusk to adujst yourself from a 120hz display to a 60hz display... But i really like the overall experience of this phone...,Terrific,Nov 2025
5,Buy it now everything is good,Excellent,Oct 2025
5,Awesome phone Nishant ranjan,Excellent,Oct 2025
5,This phone is really amazing,Wonderful,Apr 2025
5,"iphone is ever good product to buy, but need to improve battery backup also. I think there is no need of camera short cut button, but its good to open in single click, apple intelligence is ok ok feature. Is recommendable product you can buy.",Super!,Nov 2024
4,Absolutely premium product...just now. Thanks flipkart Im glad such a beautiful iphone 16 too good Loved it,Good choice,Nov 2025
5,Amazing purchase,Wonderful,Nov 2025
5,Fantastic product..no flaws,Just wow!,Jun 2025
5,My first iPhone and its literally amazing although I like its performance and camera my overall experience is very good! Adhayan V,Worth every penny,Jun 2025
4,Good phone like it Ajin B,Worth the money,Oct 2025
5,"great camera, great battery life, overall a good package.",Terrific,Jun 2025
5,"Awesome product. If you are an apple fanboy, go for it. , S",Classy product,Jan 2025
5,Amazing camera results and big battery life,Highly recommended,Jan 2026
5,Amazing camera quality,Best in the market!,Dec 2025
5,"Excellent but delivery too late, but I m happy ajay kumar",Must buy!,Nov 2025
5,Best price on this time Rakesh swami,Perfect product!,Oct 2025
5,Just go ahead and buy it.,Wonderful,Jan 2025
5,Perfect..down to the last .. everything is perfect,Terrific,Apr 2025
5,Awesome phone as always. Got a good deal on Flipkart chandan tiwari,Simply awesome,Mar 2025
4,No doubt its built quality is unmatched. better to buy an android phone of this range than this one. Android respects your freedom to choose more.,Wonderful,May 2025
5,Switched from 12 mini to iPhone 16 - battery 1010 - camera 1010 - hold and feel 1010 - ios 910 - heavy tasking 810 Should you upgrade?? If you are at iPhone 1213 then you should . From 1415 you will minor improvement changes only !,Brilliant,Sep 2024
5,Md saddam,Classy product,Nov 2025
5,Camera quality is excellent Battery backup is durable Performence is superb as I expected,Must buy!,Sep 2025
4,Wonderful product,Good choice,Oct 2025
3,"The model is excellent with 5 stars on all features except two issues. 1. Battery life is really less. 2. Heating issues in the phone Note if you are a iphone plus, pro or pro max users then dont buy only 16 go with next versions or you will be disappointed",Does the job,Jan 2025
5,"Phone is very smooth, battery is far better than 14 which I previously had. 18 is perfectly running with no bugs",Just wow!,Sep 2024
5,Super camera resolution battery also super fast charger performance -100 design-camera design super,Just wow!,Dec 2025
5,Awesome only no words to explain,Simply awesome,Jan 2026
5,"First ios ,feeling happy thank u flipkart .",Fabulous!,Nov 2025
5,Performance top notch but App opening time hanging .,Awesome,Nov 2025
5,Very very nice camera quality I love it,Fabulous!,Nov 2025
5,Very nice Dileep M C,Terrific,Nov 2025
5,Product is very good and also delivery boys behaviours is very good,Just wow!,Nov 2025
4,Only for brand..but best,Good choice,Nov 2025
5,Thankyou flipkart bbd sale food prize and good Look iPhone 16 Im happy full satisfied,Awesome,Oct 2025
5,60 sanjay kumar saraf,Highly recommended,Jun 2025
5,Great product bijay karki,Wonderful,May 2025
5,Nice product worth of money reddy,Must buy!,May 2025
5,Value for money.,Mind-blowing purchase,Apr 2025
5,My fathers first iphone Colour is awesome and so light in weight It should be available with 256gb Anyways design and camera is awesome,Great product,Sep 2024
5,Overall good performance,Must buy!,Jun 2025
4,Awesome product,Worth the money,Jan 2025
5,battery backup is very good harpreet,Simply awesome,Oct 2025
5,iPhone 16 battery is awesome,Excellent,Apr 2025
5,Must buy product,Terrific purchase,Jan 2025
5,Very handy phone perfect in every aspect ..,Mind-blowing purchase,Jan 2025
4,On 26 th sep i got this phone . All are good but one thing i noticed that the phone heat up when I open the camera. I didnt know why these thing are happening . While writing this review i only used this phone for 1 hr. Shashi kant,Nice product,Oct 2025
5,All the features are working fine.,Classy product,Jan 2025
5,More smoothly then 15,Classy product,Sep 2024
5,was marvelous except 60 Hz display and battery,Fabulous!,Nov 2025
5,"is Supreme, Display is Awesome, Performance is outstanding, Battery is worst, Display size is very",Worth every penny,Apr 2025
5,"Nice mugambo khush hua, .",Best in the market!,Nov 2025
5,Such a great and powerful phone,Brilliant,Aug 2025
5,with the best camera,Highly recommended,Jan 2026
5,nice product,Classy product,Jan 2026
5,Apple - The name is enough,Super!,Sep 2025
5,Best product Tamilarasan s,Brilliant,Jan 2026
5,"Flipkart is most trusted and best online shopping platform. About the phone there are no words to express the beauty. Camera , performance and quality is amazing. Bought is black colour. This is like my 3rd or 4th iPhone .",Just wow!,Nov 2025
5,Face a little bit of prb but still happy with my new iphone 16,Simply awesome,Aug 2025
5,The iPhone 16 is a very good choice!,Terrific purchase,Nov 2025
5,Very nice product,Must buy!,Nov 2025
5,I love this device,Excellent,Nov 2025
5,"The iPhone 16 is a great phone, but the battery doesnt last long adarsh shukla",Perfect product!,Nov 2025
5,Nice phone Thank you flipkart Nice delivery,Classy product,Nov 2025
5,Its good product. I love you i,Mind-blowing purchase,Nov 2025
5,"iPhone 16 is an outstanding device with excellent performance, brilliant display, and reliable battery backup. The camera quality is top-notch, and overall it offers a truly premium experience.",Excellent,Nov 2025
5,Orginal product delivered,Highly recommended,Jan 2026
5,Nice picture and quality is osm.loved it,Terrific,Nov 2025
5,Got best product in great deal,Classy product,Nov 2025
5,Very good product,Classy product,Dec 2025
5,Loved it iphone 16 Always love apple Must buy,Terrific purchase,Dec 2025
5,Delivery was very fast ! Compact size and light weight as compare to pro series ! Good choice,Terrific,Nov 2025
5,Everything is Good.,Just wow!,Nov 2025
5,Fabulous camer clarity Dinesh K,Awesome,Nov 2025
5,Very nice phone with ai and good cinematic vidio and photo,Fabulous!,Nov 2025
5,Just awesome and battery backup is good,Just wow!,Jan 2026
5,"so its my first iphone after a long time waiting and the experience is as expected amazing! so on the good side, there is no match for the video recording of an iphone as there never were. camera is just fascinating and which is the most craving thing for me. build and looks are completely unmatched to any phone as to be honest there are some phones which comes to comparison but still a phone. the display is too good to be true although 60Hz doesn...",Classy product,Oct 2025
5,This product is best Jignesh vinodray dhrangadhariya,Must buy!,Oct 2025
5,I can recommend this phone to anyone. Coz its a power-packed phone in a compact design. Such a premium feel when you hold it. Camera is as usual top notch. Nothing to nitpic. Just go for it,Classy product,Oct 2025
5,best deal flipkart,Super!,Oct 2025
5,Nice phone at low price thanks flipkar,Perfect product!,Nov 2025
5,Always superb no comments,Terrific purchase,Oct 2025
5,Worth it,Simply awesome,Nov 2025
5,Very nice saleem raja,Worth every penny,Nov 2025
5,"Very good product, I love it.",Just wow!,Oct 2025
5,"Nice product Krishna , Serilingampalle m",Just wow!,Oct 2025
5,I love this product and discount also,Terrific,Oct 2025
5,Nice but slow display 60hz,Awesome,Oct 2025
5,"I am buying iPhone for the first time. I have bought an iPhone, not a soap. As people say. It is a brand new phone, there is no problem. No scratches. Best deal, best offer, best phone 100 battery health 0 damage Seal pack box",Terrific,Oct 2025
5,Best camera quality for video,Must buy!,Oct 2025
5,Excellent as always.Nice job apple,Brilliant,Oct 2025
5,I like it satyam singh,Best in the market!,Oct 2025
5,Excellent and interesting discount,Worth every penny,Oct 2025
4,"I have a great experience with iphone 16, all upgraded features is good, I highly recommend for 16 256 gb",Pretty good,Oct 2025
5,best phone in series and also better then 17,Best in the market!,Oct 2025
5,Good phone camera quality is a awesome,Highly recommended,Oct 2025
5,Received in good condition... fast delivery.....all over experience is good.... and thanks flipkart....... in advance,Terrific,Oct 2025
5,Very happy with the mobile,Worth every penny,Sep 2025
5,Had been using it for some time and is totally worth the money,Highly recommended,Sep 2025
5,"Best ever, look wise and performance wise.",Fabulous!,Sep 2025
5,"We all are know that iphone have no substitute, its amazing device and also my first iphone so its become very excited... No regret",Classy product,Oct 2025
5,Excellent product,Must buy!,Aug 2025
5,. best color. Significantly awesome!,Mind-blowing purchase,Mar 2025
5,The phone is good except the 60 Hz refresh rate,Classy product,Oct 2025
5,Very nice and black colour,Mind-blowing purchase,Oct 2025
5,"Upgraded 16, and its nice, the battwru backup is very nice and so is the camera. Just some heating issue in summers.",Highly recommended,Jun 2025
5,Perfect product pranshu srivastava,Perfect product!,Jun 2025
5,"I am loving it. Yes the battery is a bit problematic, it drained early. Apple should work on it.",Wonderful,Jun 2025
5,Very good product,Fabulous!,Jun 2025
5,Upgraded 11 to 16. Its good,Terrific,Oct 2025
5,"As a First time iphone user, i find the phone good",Worth every penny,May 2025
5,Best in performance and camera,Brilliant,May 2025
5,Iphone is an iphone.,Simply awesome,May 2025
5,phone better than pro variant.,Highly recommended,May 2025
5,Got the phone in very Excellent condition And delivered in a very proper manner madhukar pawar,Terrific,Oct 2025
5,Wonderfully lightweight stuff. Worth purchasing. Improved speakers and a more seamless display. Incredibly cozy to use with one hand.,Perfect product!,Mar 2025
