rating,text,title,date
5,"1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 4.0 Value-for-money Review for Color Glacier Silver  Silver RAM 8 GB Storage 256 GB Best for gaming and camera is good Rohan Naik , Doddaballapur Industrial Area Helpful for 113 20 Verified Purchase 4.0 Value-for-money Review for Color Glacier Silver  Silver RAM 8 GB Storage 256 GB Super Lalprasad Lamani , Krishnagiri District Gold Reviewer Helpful for 758 199 Verified Purchase 4.0 Delightful Review for Color St",",093 ratings and 248 reviews",Feb 2026
5,"Product is good and value fore maney and battery backup up to 2days on full charge READ MORE Satyananda Nayak Certified Buyer , Mangalore",Good quality product,Feb 2026
5,"Single speaker, its ok for normal vdo watching or listening song, you can not experience a good vibe, it is average. Camera is good, in normal photo mod picture are more AI polished, portrait photo is awesome. Front camera is good. Battery serv complete one day if you onces fully charged with using whole day, And in ideal mode it may be lasting at least 2 days. Performance is good for now, no hang no leg. Display no comments. Awesome. In my opinion if prices range not more than 20k it s... READ",",093 ratings and 248 reviews",Jan 2026
5,"The product is very nice, really I Love this mobile, but the issue on this mobile is 1 Heating problem 2 At first its battery is standard but after few days its batter do not standard... BUT FOR THE PART TIME GAMER , THIS MOBILE IS PERFECT... READ MORE sankarrao Donkina Certified Buyer , Jangareddigudem",Worth every penny,Feb 2026
1,This is a nice phone . And its performance is outstanding. READ MORE Tirtha Saha Certified Buyer,Dont waste your money,Jan 2026
4,"Nice phone at this price range Poli saanam READ MORE Joshi Vr Certified Buyer , Nattakam",Nice product,Dec 2025
5,"Display 4.5 design 4.4 camera 4.3 performance 4.6 Battery 4.7 READ MORE Raj kumar Kisku Certified Buyer , Dumka",Excellent,Jan 2026
5,"Mobile is good performance is very smooth Network connectivity is very good Dual Stereo speakers needed. heating issue during charging Fast charging is good as per 7300mah big battery Camera is average 54.3 Battery backup 2day for normal users 54.9 Device build quality is poor ...back panel is plastic But mobile is good value for money READ MORE Naresh Zala Certified Buyer , Gidc Savli",Worth every penny,Jan 2026
5,"Good phone at this price range. And amazing battery backup READ MORE Certified Buyer ,",Terrific,Dec 2025
5,"Camera too good Performance so good Display okk okk. Exp READ MORE Certified Buyer ,",Fabulous!,Feb 2026
