Method,N,Accuracy,Macro_F1,RMSE,Pearson_r,Spearman_rho,Device,Scope
VADER,4021,0.769,0.5,1.1606,0.4529,0.3018,ALL,Overall
BERT,4021,0.8699,0.4758,1.2094,0.5423,0.352,ALL,Overall
Word Cloud,4021,0.712,0.5094,1.1245,0.4798,0.3219,ALL,Overall
VADER,719,0.8289,0.4961,1.0698,0.5192,0.3384,iPhone 16,PerDevice
VADER,3245,0.7565,0.5067,1.172,0.4537,0.3024,iPhone 15,PerDevice
VADER,57,0.7193,0.3199,1.5455,0.0523,0.0726,iQOO Z10,PerDevice
BERT,719,0.8428,0.4377,1.328,0.5373,0.3771,iPhone 16,PerDevice
BERT,3245,0.8801,0.4907,1.1543,0.5635,0.3486,iPhone 15,PerDevice
BERT,57,0.6316,0.2882,2.2542,-0.1257,-0.142,iQOO Z10,PerDevice
Word Cloud,719,0.7803,0.5065,1.0071,0.5187,0.348,iPhone 16,PerDevice
Word Cloud,3245,0.6974,0.5131,1.1374,0.4833,0.324,iPhone 15,PerDevice
Word Cloud,57,0.6842,0.3872,1.6618,0.0313,0.0178,iQOO Z10,PerDevice
