rating,title,review_text
5,",093 ratings and 248 reviews","1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 4.0 Value-for-money Review for Color Glacier Silver  Silver RAM 8 GB Storage 256 GB Best for gaming and camera is good Rohan Naik , Doddaballapur Industrial Area Helpful for 113 20 Verified Purchase 3 months ago 4.0 Value-for-money Review for Color Glacier Silver  Silver RAM 8 GB Storage 256 GB Super Lalprasad Lamani , Krishnagiri District Gold Reviewer Helpful for 758 199 Verified Purchase 8 months ago 4.0 Delightful Review for Color St"
5,Classy product,"Product is good and value fore maney and battery backup up to 2days on full charge READ MORE Satyananda Nayak Certified Buyer , Mangalore 8 months ago 41 8 Permalink Report Abuse"
4,Worth the money,"Single speaker, its ok for normal vdo watching or listening song, you can not experience a good vibe, it is average. Camera is good, in normal photo mod picture are more AI polished, portrait photo is awesome. Front camera is good. Battery serv complete one day if you onces fully charged with using whole day, And in ideal mode it may be lasting at least 2 days. Performance is good for now, no hang no leg. Display no comments. Awesome. In my opinion if prices range not more than 20k it s... READ "
4,Worth the money,"The product is very nice, really I Love this mobile, but the issue on this mobile is 1 Heating problem 2 At first its battery is standard but after few days its batter do not standard... BUT FOR THE PART TIME GAMER , THIS MOBILE IS PERFECT... READ MORE sankarrao Donkina Certified Buyer , Jangareddigudem 6 months ago 10 1 Permalink Report Abuse"
5,Great product,This is a nice phone . And its performance is outstanding. READ MORE Tirtha Saha Certified Buyer 7 months ago 12 2 Permalink Report Abuse
5,Good quality product,"Nice phone at this price range Poli saanam READ MORE Joshi Vr Certified Buyer , Nattakam 7 months ago 11 2 Permalink Report Abuse"
5,Terrific,"Display 4.5 design 4.4 camera 4.3 performance 4.6 Battery 4.7 READ MORE Raj kumar Kisku Certified Buyer , Dumka 8 months ago 15 4 Permalink Report Abuse"
4,Worth the money,"Mobile is good performance is very smooth Network connectivity is very good Dual Stereo speakers needed. heating issue during charging Fast charging is good as per 7300mah big battery Camera is average 54.3 Battery backup 2day for normal users 54.9 Device build quality is poor ...back panel is plastic But mobile is good value for money READ MORE Naresh Zala Certified Buyer , Gidc Savli 6 months ago 7 1 Permalink Report Abuse"
5,Mind-blowing purchase,"Good phone at this price range. And amazing battery backup READ MORE Flipkart Customer Certified Buyer , Nileshwar 4 months ago 3 0 Permalink Report Abuse"
5,Brilliant,"Camera too good Performance so good Display okk okk. Exp READ MORE Flipkart Customer Certified Buyer , Munger 8 months ago 8 3 Permalink Report Abuse"
5,",093 ratings and 248 reviews","1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 2.0 Expected a better product Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Camera quality is not good Ankur Borgohain , Nazira Helpful for 9 Verified Purchase 6 months ago 4.0 Nice product Review for Color Stellar Black  Black RAM 8 GB Storage 128 GB The camera could be better since its a SONY IMX882. Battery backup and charging is excellent2 days if not gaming Gaming can be done smoothly. The build quality is very goo"
3,Fair,"Every thing in this phone is great.but two things are in concern.first its memory is non-extendable and second is its speaker ...since it has mono speaker ,when playing background music you can hear buzz sound over mere vibration READ MORE Flipkart Customer Certified Buyer , Kolkata 7 months ago 4 1 Permalink Report Abuse"
5,Fabulous!,"Very good Smartphone. I love this as a college student. Best for watching lectures READ MORE ABHISHEK KUMAR Certified Buyer , Chakia 7 months ago 3 1 Permalink Report Abuse"
5,Worth every penny,"Super phon Battery super camera nic and performance super READ MORE Pradeep Prabha Certified Buyer , Hyderabad 1 month ago 1 0 Permalink Report Abuse"
5,Highly recommended,"Product process and mobile phone is ok But tempered glass is difficult to manage Kindly is it usage application READ MORE Aps 1245 Certified Buyer , Tiruppur District 3 months ago 1 0 Permalink Report Abuse"
5,Classy product,"Very good at performance, long lasting battery life, camera is decent READ MORE Kshitij Patil Certified Buyer , Konkan Division 4 months ago 1 0 Permalink Report Abuse"
5,Best in the market!,"It is really a battery monster. Other things are also quite good. READ MORE Krushna Prasad Mishra Certified Buyer , Jaleswar 4 months ago 0 0 Permalink Report Abuse"
5,Just wow!,"I was using iphone but due to feel boring after some time I think lets go to the Android with iQOO .. I just want to say performance phone 1010 READ MORE Mohit Sadana Certified Buyer , Maham 4 months ago 0 0 Permalink Report Abuse"
5,Just wow!,"Mono speaker in this price that is bad but display , battery and performance is good in this price range READ MORE Jolly Johnson Certified Buyer , Krishnapuram 7 months ago 1 0 Permalink Report Abuse"
4,Good choice,"Nice phone with good battery back up and good screen READ MORE Flipkart Customer Certified Buyer , Jamshila 6 months ago 1 0 Permalink Report Abuse"
5,Simply awesome,"The IQOO Z10 is superb phone with nice display, battery life and performance is top notch really amazing phone. READ MORE Ashlok Rajesh Chaudhary Certified Buyer , Vasai Virar 6 months ago 1 0 Permalink Report Abuse"
4,Worth the money,"iQOO z10 phone outstanding performance best design READ MORE Amar Singh Certified Buyer , Tumakuru 2 days ago 0 0 Permalink Report Abuse"
5,Must buy!,"Nice product,phone is awsome,camera display everything just wow..but delivery was delayed.. READ MORE SANTANU BISWAS Certified Buyer , Kolkata 9 days ago 0 0 Permalink Report Abuse"
2,Moderate,"All is good but delivery time too late giving time 2 days received after 5 days very bad experience READ MORE Velu Certified Buyer , Chennai 21 days ago 0 0 Permalink Report Abuse"
5,Must buy!,"nice phone, great battery and camera performance. super fast charging too READ MORE Flipkart Customer Certified Buyer , Mannarkad 27 days ago 0 0 Permalink Report Abuse"
1,Worthless,"Camera is poor quality and also battery is not up to this marks in this range READ MORE Dirgesh Kumar Certified Buyer , Harnaut 27 days ago 0 0 Permalink Report Abuse"
5,Super!,"Good Product l Battery performance awesome and its Camera size too big dillcicuilty in belaying game. READ MORE Flipkart Customer Certified Buyer , Lucknow Division 1 month ago 0 0 Permalink Report Abuse"
5,Excellent,"GOOD LOOKING phone in this pirce range AWESOME Display READ MORE sudeep shah Certified Buyer , Singrauli 1 month ago 0 0 Permalink Report Abuse"
4,Value-for-money,"Overall good but camera and speaker decent READ MORE Subham Mandal Certified Buyer , Maldah District 1 month ago 0 0 Permalink Report Abuse"
5,",093 ratings and 248 reviews","1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 5.0 Terrific Review for Color Glacier Silver  Silver RAM 8 GB Storage 256 GB Really good product Genuine review Srinu Mutchakarla , Visakhapatnam Helpful Verified Purchase 1 month ago 5.0 Must buy! Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Very nice phone in under 20k! Easily. Nowadays the mobile phones prices are being crazy and not that much value.But I am lucky to have it! Under 20K.... Flipkart Customer , Bengal"
5,",093 ratings and 248 reviews","1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 5.0 Super! Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Battery service best ANAL Biswas , Purba Bardhaman District Helpful Verified Purchase 2 months ago 5.0 Best in the market! Review for Color Glacier Silver  Silver RAM 8 GB Storage 256 GB Good VARGHESE BABU , Koratty Helpful Verified Purchase 2 months ago 4.0 Good quality product Review for Color Stellar Black  Black RAM 8 GB Storage 256 GB Good Camera phone and pe"
5,Worth every penny,"This phone is just as I imagined. The design of the phone is great. 1010 READ MORE Vigneshwaran J Certified Buyer , Coimbatore 3 months ago 0 0 Permalink Report Abuse"
2,Slightly disappointed,"There is no IR senser for this to operate TV or AC READ MORE Sai krishna Mandalapu Certified Buyer , Khammam 3 months ago 2 0 Permalink Report Abuse"
2,Slightly disappointed,"Its automatically switch off and switch on ...worst phone .dont buy READ MORE narender kadakanchi Certified Buyer , Yadadri District 3 months ago 0 0 Permalink Report Abuse"
1,Dont waste your money,"Very bad product only battery is good phone will be hang on use and camera is not a good its also hang problem READ MORE Tejas Chitte Certified Buyer , Surat 3 months ago 0 7 Permalink Report Abuse"
5,Terrific,"Best product ever I can say proudly... go for it READ MORE Musharraf Ali Certified Buyer , Netarhat 4 months ago 0 0 Permalink Report Abuse"
5,",093 ratings and 248 reviews","1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 5.0 Best in the market! Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB I love this phone too much siddharth boldhane , Aurangabad Division Helpful Verified Purchase 4 months ago 5.0 Terrific Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Value for money Bharath Kumar , Coimbatore Helpful Verified Purchase 4 months ago 5.0 Simply awesome Review for Color Glacier Silver  Silver RAM 8 GB Storage 256 GB In t"
5,Great product,"Just Go for it... There is no disadvantage or any weakness... I have been using it since READ MORE Sahil Khan Certified Buyer , Hugli District 4 months ago 0 0 Permalink Report Abuse"
4,Very Good,"The iQOO Z10 5G Stellar Black  128 GB offers a truly impressive battery life with its massive 7300mAh cell, easily lasting 2-3 days on a single charge even with active use. The battery is optimized for long-lasting performance, making it one of the best options for users who want reliable, uninterrupted usage throughout the day. Battery Performance The 7300mAh battery can last over two days with regular use and up to three days on moderate use. Users report getting more than 10 hours of ... READ"
5,",093 ratings and 248 reviews","1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 4.0 Worth the money Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Good Subin Suresh , Kochi Helpful Verified Purchase 5 months ago 5.0 Wonderful Review for Color Stellar Black  Black RAM 8 GB Storage 128 GB Super product Flipkart Customer , Prakasam Helpful Verified Purchase 5 months ago 5.0 Awesome Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Good phone good battery service Manoj Sharma , Manasa Help"
1,Useless product,"not worthy Camera screen recorder front camera - zooming experience is too low Video recording- after zooming the video very bad experience I have waited money to buy this phone .I am not satisfied with this phone at this price READ MORE Yaishi Sarkar Certified Buyer , New Delhi 5 months ago 5 6 Permalink Report Abuse"
4,Wonderful,"Speaker is not much great rest all is good. READ MORE Nitish Kumar Certified Buyer , Malkera 6 months ago 0 0 Permalink Report Abuse"
5,Fabulous!,"Its so good for bgmi and gaming with 120fps nice and battery life is also good READ MORE Khasim Saheb Certified Buyer , Kurnool District 6 months ago 0 0 Permalink Report Abuse"
1,Useless product,"Phone Display gone in 1 month, worst product of my Entire phone purchase READ MORE VENKATA SATISH BABU CHAGANTI Certified Buyer , Bengaluru 6 months ago 4 6 Permalink Report Abuse"
5,Worth every penny,"Nice product... Display camera battery all super READ MORE Flipkart Customer Certified Buyer , Sulur 6 months ago 0 0 Permalink Report Abuse"
5,Terrific,"I was using Realme 2 pro since 2018 now upgraded to this one No doubt its A Battery Beast i bought this for long battery and now am totally satisfied with the phone if you are a normal user it will last for 2 days am not camera centric but it has good camera but not better than my old phone.Go for it if you need Long lasting battery and good performance. READ MORE Flipkart Customer Certified Buyer , Bidar District 6 months ago 0 0 Permalink Report Abuse"
5,",093 ratings and 248 reviews","1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 4.0 Value-for-money Review for Color Stellar Black  Black RAM 8 GB Storage 256 GB Not bad Vikas vikas , Sakleshpur Helpful Verified Purchase 6 months ago 5.0 Perfect product! Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Nice phone NAMMI PARTHA SARATHI , Yelamanchili Helpful Verified Purchase 6 months ago 5.0 Best in the market! Review for Color Glacier Silver  Silver RAM 8 GB Storage 256 GB Nice phone B.vignesh Babu , "
5,",093 ratings and 248 reviews","1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 4.0 Good quality product Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Slightly the screen shutters sometimes other than that the battery backup is too good Gokul Vaasan , Dasanaickenpatti Helpful Verified Purchase 7 months ago 4.0 Good quality product Review for Color Stellar Black  Black RAM 8 GB Storage 128 GB Nice Product P Hari Krishna , Pamur Helpful Verified Purchase 7 months ago 4.0 Delightful Review for Color S"
5,",093 ratings and 248 reviews","1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by ABOUT Contact Us About Us Careers Flipkart Stories Press Corporate Information GROUP COMPANIES Myntra Cleartrip Shopsy HELP Payments Shipping Cancellation  Returns FAQ CONSUMER POLICY Cancellation  Returns Terms Of Use Security Privacy Sitemap Grievance Redressal EPR Compliance FSSAI Food Safety Connect App Mail Us Flipkart Internet Private Limited, Buildings Alyssa, Begonia  Clove Embassy Tech Village, Outer Ring Road, Devarabeesanahall"
4,Delightful,"Designing,camera,display,performance,battery all superb. But sound and speaker quality is normal... READ MORE Sinto Pj Certified Buyer , Thrissur 7 months ago 505 133 Permalink Report Abuse"
5,Simply awesome,"Excellent camera and battery backup recommended for the one who want to buy READ MORE Darshan Naik Certified Buyer , Uttara Kannada District 8 months ago 562 142 Permalink Report Abuse"
5,Great product,"Camera - 1010 Battery - 1010 Performance 1010 Is mobile camera is Awesome and performance is very READ MORE Indrajit Majumdar Certified Buyer , Uttar Dinajpur District 8 months ago 65 11 Permalink Report Abuse"
4,Worth the money,"The mobile is good and nice gaming experience READ MORE Flipkart Customer Certified Buyer , Madhubani 8 months ago 38 7 Permalink Report Abuse"
4,Really Nice,"Pros- best camera quality Super performance Design -45 Cons- this phone have a major problem Calling problem facing in outdoor and indoor Please be careful when purchase. READ MORE Atanu kundu Certified Buyer , Basirhat 7 months ago 65 16 Permalink Report Abuse"
5,",093 ratings and 248 reviews","1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 5.0 Wonderful Review for Color Glacier Silver  Silver RAM 8 GB Storage 256 GB Good Mithilesh Kumar , Dhanbad Helpful for 4 Verified Purchase 5 months ago 5.0 Terrific Review for Color Stellar Black  Black RAM 8 GB Storage 128 GB Nice quality Manjur Alam , Gandhinagar District Helpful for 4 Verified Purchase 8 months ago 5.0 Wonderful Review for Color Glacier Silver  Silver RAM 8 GB Storage 256 GB Nice mobile Vicky Sir , Deoria Helpful fo"
4,Nice product,"The camera could be better since its a SONY IMX882. Battery backup and charging is excellent2 days if not gaming Gaming can be done smoothly. The build quality is very good. READ MORE Flipkart Customer Certified Buyer , Ghaziabad 2 months ago 2 0 Permalink Report Abuse"
5,",093 ratings and 248 reviews","1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 4.0 Really Nice Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Value for money product Varun P. Das , Pala Helpful for 2 1 Verified Purchase 7 months ago 5.0 Highly recommended Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Very nice Vikas Powar , Kurundvad Helpful for 5 2 Verified Purchase 7 months ago 5.0 Wonderful Review for Color Glacier Silver  Silver RAM 8 GB Storage 128 GB Super DHIRAJ KUMAR , Ban"
5,",093 ratings and 248 reviews","1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 4.0 Value-for-money Review for Color Glacier Silver Silver RAM 8 GB Storage 256 GB Best for gaming and camera is good Rohan Naik , Doddaballapur Industrial Area Helpful for 113 20 Verified Purchase 3 months ago 4.0 Value-for-money Review for Color Glacier Silver Silver RAM 8 GB Storage 256 GB Super Lalprasad Lamani , Krishnagiri District Gold Reviewer Helpful for 758 199 Verified Purchase 8 months ago 4.0 Delightful Review for Color St"
5,",093 and ratings 248 reviews","1 250 2 94 3 263 4 1,163 5 3,323 59 User reviews sorted by 4.0 Value-for-money Review for Color Glacier Silver Silver RAM 8 GB Storage 256 GB Best for gaming and camera Reviewer good Rohan Naik , Doddaballapur Industrial Area Helpful for 113 20 Verified Purchase 3 months ago 4.0 Value-for-money Review for Color Glacier Silver Purchase RAM 8 GB Storage 256 GB Super Lalprasad Lamani , Krishnagiri District Gold is Helpful for 758 199 Verified Silver 8 months ago 4.0 Delightful Review for Color St"
5,product Classy,"Product is good and value fore Abuse and battery backup up to 2days on full charge 41 MORE Satyananda Nayak Certified Buyer , Mangalore 8 months ago READ 8 Permalink Report maney"
