Method,N,Accuracy,Macro_F1,RMSE,Pearson_r,Spearman_rho,Device,Scope
VADER,5108,0.7841,0.5131,1.1434,0.4801,0.3115,ALL,Overall
BERT,5108,0.8542,0.4703,1.2524,0.548,0.3651,ALL,Overall
Word Cloud,5108,0.7087,0.5088,1.133,0.4834,0.3228,ALL,Overall
VADER,895,0.8324,0.4968,1.0788,0.5204,0.3494,iPhone 16,PerDevice
VADER,4061,0.7735,0.5137,1.1478,0.4598,0.2968,iPhone 15,PerDevice
VADER,152,0.7829,0.487,1.374,0.6195,0.4817,iQOO Z10,PerDevice
BERT,895,0.8279,0.4279,1.3772,0.5321,0.3864,iPhone 16,PerDevice
BERT,4061,0.8656,0.4827,1.1875,0.5589,0.3531,iPhone 15,PerDevice
BERT,152,0.7039,0.4178,1.9656,0.4487,0.3546,iQOO Z10,PerDevice
Word Cloud,895,0.7631,0.4928,1.0485,0.5094,0.3401,iPhone 16,PerDevice
Word Cloud,4061,0.6937,0.5101,1.155,0.4721,0.3174,iPhone 15,PerDevice
Word Cloud,152,0.7895,0.5089,1.0118,0.6403,0.4331,iQOO Z10,PerDevice
