rating,review_text,device,true_label,vader_compound,vader_label,vader_pred_rating,bert_label,bert_score,bert_pred_rating,wc_score,wc_label,wc_pred_rating,hard_vote_label,hard_vote_pred_rating,soft_vote_pred_rating,soft_vote_label,bagging_pred_rating,bagging_pred_std,bagging_label
4,"6,583 Reviews 1,63,435 24,703",iPhone 16,Positive,0.0,Neutral,3.0,Positive,0.9407995343208312,4.763198137283325,0.0,Neutral,3.0,Neutral,3.0,3.7052792549133304,Neutral,3.867868866861687,0.1993175288188045,Positive
5,Super and cool photo,iPhone 16,Positive,0.7351,Positive,4.4702,Positive,0.9998801946640016,4.999520778656006,1.0,Positive,5.0,Positive,4.5,4.787888311462402,Positive,4.506063226421063,0.33133617634089024,Positive
5,Such an great experience,iPhone 16,Positive,0.6249,Positive,4.2498000000000005,Positive,0.9998594522476196,4.999437808990479,1.0,Positive,5.0,Positive,4.5,4.699695123596192,Positive,4.4184292478753395,0.29286879756348766,Positive
5,with unbeatable video performance. Tip-top performance A18 Chip. best value offering.,iPhone 16,Positive,0.765,Positive,4.53,Positive,0.9973549842834472,4.989419937133789,1.0,Positive,5.0,Positive,4.5,4.807767974853516,Positive,4.405527701431725,0.3424271539508538,Positive
5,such a beautiful color,iPhone 16,Positive,0.5994,Positive,4.1988,Positive,0.9998795986175536,4.999518394470215,1.0,Positive,5.0,Positive,4.5,4.679327357788086,Positive,4.407107322882265,0.2835000011504657,Positive
5,Doing good as of now!,iPhone 16,Positive,0.4926,Positive,3.9852,Positive,0.99984872341156,4.99939489364624,1.0,Positive,5.0,Positive,4.5,4.593837957458496,Positive,4.326658660149081,0.23705985157496512,Positive
5,Value for money sarath kumar,iPhone 16,Positive,0.34,Positive,3.68,Positive,0.9905074834823608,4.962029933929443,0.0,Neutral,3.0,Positive,4.5,4.056811973571778,Positive,4.079706863835634,0.02970062051731,Positive
5,"Best phone, best feature charge, best performance, I love this iPhone 16.",iPhone 16,Positive,0.9571,Positive,4.9142,Positive,0.9994850158691406,4.9979400634765625,1.0,Positive,5.0,Positive,4.5,4.964856025390625,Positive,4.5736824426122835,0.4239265704903533,Positive
5,Love the quality of pics it takes Ghosh,iPhone 16,Positive,0.6369,Positive,4.2738,Positive,0.9998468160629272,4.999387264251709,1.0,Positive,5.0,Positive,4.5,4.709274905700683,Positive,4.435479500470771,0.296828823612225,Positive
5,"Compact, easy to carry. Like it",iPhone 16,Positive,0.6597,Positive,4.3194,Positive,0.9998472929000854,4.999389171600342,1.0,Positive,5.0,Positive,4.5,4.7275156686401365,Positive,4.469903337960345,0.3028711507807585,Positive
