comment_id,author,text,time,time_parsed,likes,is_reply,parent_id,scraped_at,text_length,word_count,text_cleaned
UgxyC4PT7XLSPoCjmzF4AaABAg,@pitchagoncholrat3974,Can you tell me is the film that cover speaker and phone edge important? Can it make your phone  scratched when you use your case ?,7 hours ago,1772614351.456395,0,False,,2026-03-04 21:22:31,131,26,can you tell me is the film that cover speaker and phone edge important? can it make your phone scratched when you use your case ?
UgxHnAImYuYp8WxcFAx4AaABAg,@itsall_btn,Got the cosmic orange one... ssssss,3 days ago,1772380351.461414,0,False,,2026-03-04 21:22:31,35,6,got the cosmic orange one... ssssss
Ugx46VmkD3bPnPWA6Q14AaABAg,@finnewar,I will buy iPhone 15 over 17.,4 days ago,1772293951.465238,0,False,,2026-03-04 21:22:31,29,7,i will buy iphone 15 over 17.
UgzUSDtSvdHAZQwaZQh4AaABAg,@LucaRogers-i6f,i am saving up for one,4 days ago,1772293951.469251,0,False,,2026-03-04 21:22:31,22,6,i am saving up for one
UgwN8NptVI2Dv7SItYJ4AaABAg,@Nordic-vibeer,i still use an iphone 11 but apart from the lag its not bad,4 days ago,1772293951.472728,0,False,,2026-03-04 21:22:31,59,14,i still use an iphone 11 but apart from the lag its not bad
UgxNA5BGB6DJBMbQBIB4AaABAg,@Marcusthepresident,"It is insane how much Apple has evolved over the years, I'm proud of my Iphone",6 days ago,1772121151.47616,0,False,,2026-03-04 21:22:31,78,16,"it is insane how much apple has evolved over the years, i'm proud of my iphone"
UgxSzFVofUGllHfR-6x4AaABAg,@tespinal8,Hi ! Which is your daily driver ?  Pro or pro max ?,6 days ago,1772121151.478238,0,False,,2026-03-04 21:22:31,51,13,hi ! which is your daily driver ? pro or pro max ?
UgwOcmuEeNwQg_V-8WN4AaABAg,@koda3921,i had an iphone 12 so i had to upgrade,6 days ago,1772121151.481802,0,False,,2026-03-04 21:22:31,38,10,i had an iphone 12 so i had to upgrade
UgzMN8VcsMu56CDSTtJ4AaABAg,@scottpeters1847,"How do you get those photos?, it's absolutely terrible for me and many others, even the pro max is awful - I even compared it to a Samsung s22 ultra and the s22 is better. The iPhone is just washed out and grainy, I was shocked to see how bad it is, I thought the cameras was the only half decent thing they had going for them until I saw them 🤣",7 days ago (edited),1772034751.485628,0,False,,2026-03-04 21:22:31,345,72,"how do you get those photos?, it's absolutely terrible for me and many others, even the pro max is awful - i even compared it to a samsung s22 ultra and the s22 is better. the iphone is just washed out and grainy, i was shocked to see how bad it is, i thought the cameras was the only half decent thing they had going for them until i saw them 🤣"
Ugy_fUMGY8Vf_77F3lp4AaABAg,@NotBrandyn,I don’t know bro I just buy every iPhone that comes out,8 days ago,1771948351.489293,0,False,,2026-03-04 21:22:31,55,12,i don’t know bro i just buy every iphone that comes out
UgxfZrX6TzZr_8rhqRh4AaABAg,@CooperKoepp,"I tend to agree with you, the hardware capability is ahead of the software capability. 
The thermal distribution and battery use per charge on the 17 Pro Max, massive jump forward. Also, the complete absence of screen dimming for thermals is a massive jump forward.
It still can't record a hot yoga class without becoming hot like a coal in fire but it does have the ability to last longer before it shuts itself off.
The aluminum reminds me of the first iPhone I had, 6 Plus. It's just as fragile.",9 days ago,1771861951.492563,0,False,,2026-03-04 21:22:31,498,91,"i tend to agree with you, the hardware capability is ahead of the software capability. the thermal distribution and battery use per charge on the 17 pro max, massive jump forward. also, the complete absence of screen dimming for thermals is a massive jump forward. it still can't record a hot yoga class without becoming hot like a coal in fire but it does have the ability to last longer before it shuts itself off. the aluminum reminds me of the first iphone i had, 6 plus. it's just as fragile."
UgySQuhamwVlcBLrv-t4AaABAg,@anima.medica,No one needs a phone this expensive.,11 days ago,1771689151.496023,0,False,,2026-03-04 21:22:31,36,7,no one needs a phone this expensive.
Ugy5tprRMGsON9sbsTZ4AaABAg,@ashishnassar4728,Can I get this or I am wait for 18?,12 days ago,1771602751.49817,0,False,,2026-03-04 21:22:31,35,10,can i get this or i am wait for 18?
Ugw_VfQtYfenWVcyrGd4AaABAg,@Reddy_vlogs_07,U r same like tollywood director anil ravpuri,2 weeks ago,1771429951.500269,0,False,,2026-03-04 21:22:31,45,8,u r same like tollywood director anil ravpuri
UgzrDvQU6SRA8Gy1TBt4AaABAg,@elevatorengineering8887,I hope apple looks at your review and fix the issues,2 weeks ago,1771429951.503042,0,False,,2026-03-04 21:22:31,52,11,i hope apple looks at your review and fix the issues
UgzjKR_27rekPw5sfI14AaABAg,@elbersed,"Hmmm, new features are going to be useful for new Apple AI features, I wonder what it means that “Apple” AI is going to use google…",2 weeks ago,1771429951.505257,0,False,,2026-03-04 21:22:31,131,26,"hmmm, new features are going to be useful for new apple ai features, i wonder what it means that “apple” ai is going to use google…"
UgydgxihH07FmckagGd4AaABAg,@odeybenard7746,I'm always scrolling YouTube watching this videos. One day I wish I could afford one,3 weeks ago,1770825151.507312,0,False,,2026-03-04 21:22:31,84,15,i'm always scrolling youtube watching this videos. one day i wish i could afford one
UgzEk2VLA1EVIZF3XNR4AaABAg,@starwarsnerd03,I am getting the 17 pro today was on the pixel 10 pro fold I wanted to try out pixel but also wanted to try foldable and honestly just a crap phone and the foldable is just not as useful as my iPad mini a17 pro so going back to iPhone,3 weeks ago,1770825151.510471,0,False,,2026-03-04 21:22:31,234,51,i am getting the 17 pro today was on the pixel 10 pro fold i wanted to try out pixel but also wanted to try foldable and honestly just a crap phone and the foldable is just not as useful as my ipad mini a17 pro so going back to iphone
UgzeQ4SLOiDlUnLdvvV4AaABAg,@keithburns5082,Love the orange too,3 weeks ago,1770825151.513533,0,False,,2026-03-04 21:22:31,19,4,love the orange too
Ugz7Xp1pQU2fhICLpXl4AaABAg,@keithburns5082,Them Torres screen protectors are really good best I’ve ever used there really thin as well expensive though but get what u pay for,3 weeks ago (edited),1770825151.516763,0,False,,2026-03-04 21:22:31,131,24,them torres screen protectors are really good best i’ve ever used there really thin as well expensive though but get what u pay for
UgyEbrWhxHP2v7qT67V4AaABAg,@keithburns5082,It ain’t about how scratch resistant the screen is it’s about the oleo phobic coating that wears off that’s the main reason I use a screen Protector ain’t rocket,3 weeks ago,1770825151.858737,0,False,,2026-03-04 21:22:31,161,29,it ain’t about how scratch resistant the screen is it’s about the oleo phobic coating that wears off that’s the main reason i use a screen protector ain’t rocket
UgxL47xU-5hK45R8lNV4AaABAg,@Walnut-xoxo,No doubt best phone so far,1 month ago,1770220351.862277,0,False,,2026-03-04 21:22:31,26,6,no doubt best phone so far
UgyFMPjSCeeam3D225B4AaABAg,@Otrxzay,Lmao I’m jumping from an iPhone 11 Pro Max to this 💀,1 month ago,1770220351.868029,0,False,,2026-03-04 21:22:31,52,12,lmao i’m jumping from an iphone 11 pro max to this 💀
Ugzb8GVunkj9bOVRXdZ4AaABAg,@Mojalefa.Mashego-j7r,Please buy me a iphone im still on my samsung j2 core,1 month ago,1770220351.873864,0,False,,2026-03-04 21:22:31,53,12,please buy me a iphone im still on my samsung j2 core
UgzzChTGJgK1_gBhgJ94AaABAg,@IrraJahanzaibKhan,"It’s refreshing to see a review that highlights what Apple left out. On iPhoneDealsPro, people always ask which iPhone is truly worth buying, and this video really helps clarify what you’re actually getting.",1 month ago,1770220351.87866,0,False,,2026-03-04 21:22:31,207,33,"it’s refreshing to see a review that highlights what apple left out. on iphonedealspro, people always ask which iphone is truly worth buying, and this video really helps clarify what you’re actually getting."
UgxRrrIHDclhq4D1gdt4AaABAg,@alme1da961,4:23 wallpaper? 🥺🥺🥺,1 month ago,1770220351.882599,0,False,,2026-03-04 21:22:31,19,3,4:23 wallpaper? 🥺🥺🥺
Ugzmvl9MLcECrzLIjA94AaABAg,@AKD96070,7:18 faaahhh i'm lefthanded,1 month ago,1770220351.888129,1,False,,2026-03-04 21:22:31,27,4,7:18 faaahhh i'm lefthanded
UgzwuyybuznH4T2cuLV4AaABAg,@Rifat-l2u,"“Mr., you can gift me an iPhone.” 😊",1 month ago,1770220351.893383,0,False,,2026-03-04 21:22:31,35,8,"“mr., you can gift me an iphone.” 😊"
UgwsdpX-Oatg7tuQjTV4AaABAg,@tld8102,Will the next iPhone be more stingy on ram given the AI shortage,1 month ago,1770220351.898589,0,False,,2026-03-04 21:22:31,64,13,will the next iphone be more stingy on ram given the ai shortage
Ugz-Hyn2Oq67rN35t8J4AaABAg,@YukiKawashima-q5m,Can I have the iPhone 13mini,1 month ago,1770220351.903329,0,False,,2026-03-04 21:22:31,28,6,can i have the iphone 13mini
UgzrqmnJ1Y_CPI3ks1p4AaABAg,@stanislawignacy,9:02 holy plastic overconsumption what on earth is this,1 month ago (edited),1770220351.908224,0,False,,2026-03-04 21:22:31,55,9,9:02 holy plastic overconsumption what on earth is this
Ugwb8UaOFYOtLQpLl3d4AaABAg,@lullmar,I got mines last month n i didn’t have those glitching problems thankfully,1 month ago,1770220351.912831,0,False,,2026-03-04 21:22:31,74,13,i got mines last month n i didn’t have those glitching problems thankfully
UgzslfNxvmsaLsF4hbJ4AaABAg,@ankushrana10,Definitely all the R&D money is going towards developing AI siri,1 month ago,1770220351.916558,0,False,,2026-03-04 21:22:31,64,11,definitely all the r&d money is going towards developing ai siri
