comment_id,author,text,time,time_parsed,likes,is_reply,parent_id,scraped_at
UgxN8pIHq8ge84ysO4l4AaABAg,@TrakinTechEnglish,Please note that the Samsung Galaxy S26 Ultra doesn't have a true 10-bit display. It is actually an 8-bit panel with an added software-tuned frame rate control (FRC) and color filter on encapsulation (CoE) filter. This helps in reducing banding and offering a sense of wider colour gamut. We apologise for the factual inaccuracy but we were told that it's a 10-bit panel by Samsung.,11 hours ago,1772603041.057416,2,False,,2026-03-04 22:14:01
UgxDccgnB9ePBg9ymqd4AaABAg,@rahul___k,"Guys, Please don't upgrade to S26 Ultra or any of the S26 Series. Nothing is new. They are all paid reviewers. Get the S25 Ultra.",3 hours ago,1772631841.063241,0,False,,2026-03-04 22:14:01
UgwbiLHhH_MbTIXmV214AaABAg,@im4320,"This time it is not at all WORTH to upgrade  -  No battery increased, SAME everything (Except few video enhancement with privacy display as their marketing gimmick)  :face-blue-smiling:",3 hours ago,1772631841.067192,0,False,,2026-03-04 22:14:01
UgwIRGvGaLFtnm0KwXl4AaABAg,@im4320,Ershad -  it is still 8-bit panel  :face-blue-smiling:,3 hours ago,1772631841.071157,0,False,,2026-03-04 22:14:01
UgwQdHmXHy1N_Qxhjdp4AaABAg,@Sivakumar-v5s6d,Its not a 10 bit panel. Its just 8 bit. Samsung confirmed,5 hours ago,1772624641.075321,1,False,,2026-03-04 22:14:01
Ugzg-t5vSSIUb36hu3t4AaABAg,@PradipMajumder-d7o,"One of the most biased review I have ever seen .. there is nothing sort of huge upgrades without privacy display ... These youtubers are exaggerating like omg what a new design, display leaps and bounds 😂 but this is 8 bit panel. His samsung executive cheated him haha😅😂",5 hours ago,1772624641.078032,0,False,,2026-03-04 22:14:01
UgwfzjHLkPeLdsChXf94AaABAg,@daledevernon56,Just for the record Samsung has confirmed that it is not a 10-bit panel it is an 8-bit panel your information is incorrect.,9 hours ago,1772610241.08216,0,False,,2026-03-04 22:14:01
UgyZ3LcnciZuUsS99FB4AaABAg,@tech_grv9324,We are expecting to criticise the samsung as nothing has changed from last 3 years but youtubers are celebrating this tiny ₹500 features. We are not expecting from you bhai please be real with change,12 hours ago,1772599441.084678,0,False,,2026-03-04 22:14:01
UgwBZT72ysfIBHBYldp4AaABAg,@Jit-np5wl,Too expensive.  Sorry not upgrading from s24ultra,14 hours ago,1772592241.088147,0,False,,2026-03-04 22:14:01
UgzGtlQdyx7DybLZajV4AaABAg,@leaddog007007,Samsung announced that the display of the S26 Ulta is an 8-bit display with a software enhancement.  It is not a true 10-bit display.,15 hours ago,1772588641.092044,0,False,,2026-03-04 22:14:01
UgyrnzU4XblcJzGz_NR4AaABAg,@sabavathkirankumarnaik4013,7:43 where to get such charger??,17 hours ago,1772581441.098208,0,False,,2026-03-04 22:14:01
UgxbjunKpRTluqZ1EIl4AaABAg,@sabavathkirankumarnaik4013,"Don't belive in this mf reviewers
Go with oneplus, oppo, vivo brands",17 hours ago,1772581441.101276,0,False,,2026-03-04 22:14:01
Ugyh9e5PZzy23kOjw7l4AaABAg,@KRISHANU01,Nobody is going into the perplexity integration deep into OS.,20 hours ago,1772570641.104442,0,False,,2026-03-04 22:14:01
UgzuwYgSiPO05Tehxdh4AaABAg,@adityaaaa.sharma,I mean you guys are ready to say anything in paid collab… you said you can notice a difference between the two but Samsung themselves confirmed S26U has 8 bit Panel as well,21 hours ago,1772567041.10697,0,False,,2026-03-04 22:14:01
UgxhFrRodh-Y4KiButR4AaABAg,@azidbarbhuiya7689,Is it worth it to buy s25ultra after the launch of s26ultra?,22 hours ago,1772563441.110863,0,False,,2026-03-04 22:14:01
UgwqRokeCnWX_jkYuaZ4AaABAg,@nisarch2010,Can you explain any issues with the S26 Ultra display?,23 hours ago,1772559841.113236,1,False,,2026-03-04 22:14:01
UgyPR4iM3MhmccTELlp4AaABAg,@mornningg,"3:34 who confirmed it -  ""we asked Samsung and they're saying it is a 10- bit panel. So, they've confirmed"" change those relationships man",23 hours ago,1772559841.11665,3,False,,2026-03-04 22:14:01
Ugxa4zZFceW6h9vk2S14AaABAg,@bryandsouza17,"3:32 , it is confirmed that it is now a 8 bit panel (check Mrwhosetheboss' tweet) , then how did Samsung Confirm it's a 10 bit panel?",23 hours ago,1772559841.119611,7,False,,2026-03-04 22:14:01
UgxI9dEwh9yW08ONSIt4AaABAg,@aks4312,The display of the s26 ultra is not 10 bit... it's still 8 bit stop spreading fake information dude,1 day ago,1772556241.122577,1,False,,2026-03-04 22:14:01
Ugz2JAMxVbA3A8O7MKp4AaABAg,@swapnilanand2557,"What a salesperson you are! They are using an 8-bit panel only, man.",1 day ago (edited),1772556241.126087,1,False,,2026-03-04 22:14:01
UgxN8pIHq8ge84ysO4l4AaABAg.ATvJTscBy8hATvLjOP1NGH,@niranjc,Hahaha.. you told that you tested!!! What a falllll!,11 hours ago,1772603041.424121,2,True,,2026-03-04 22:14:01
UgxN8pIHq8ge84ysO4l4AaABAg.ATvJTscBy8hATwTXkq1f1h,@sanjayramanis,You said you confirmed with the samsung in the video too,53 minutes ago,1772639461.428065,1,True,,2026-03-04 22:14:01
UgyPR4iM3MhmccTELlp4AaABAg.ATu3HER0FtHATuDUV9dHrQ,@bigraf2444,"Simulated 10-bit: The 

S26 Ultra

 likely uses Frame Rate Control (FRC)—often called ""8-bit + FRC""—to simulate the appearance of 10-bit colour. This software-based technique helps reduce visible colour banding and provides smoother gradients compared to standard 8-bit displays.",21 hours ago,1772567041.692102,3,True,,2026-03-04 22:14:01
Ugxa4zZFceW6h9vk2S14AaABAg.ATu0990IdulATu31-XVGC4,@mornningg,inka khabri nakli nikla,23 hours ago,1772559841.967562,0,True,,2026-03-04 22:14:01
UgzxwzCP85sAzWYHVVd4AaABAg,@adnanraza8206,"Can you please compare between S24 Ultra and S26 Ultra as this make more ""sense"" as S25 ultra is just more refined version of S24 ultra. And is it worth the upgrade.",1 day ago,1772556242.316865,0,False,,2026-03-04 22:14:02
UgxNK3QH3szqqirs_tt4AaABAg,@daveask2557,Samsung told me the older models s 21 fe and older will not be getting anything but security patches they are 3 mouths behind pass it,1 day ago,1772556242.320177,0,False,,2026-03-04 22:14:02
Ugy12e5gKcG-mXiZKFJ4AaABAg,@AniruddhaTare-p9s6h,Just saw the demo unit from the samsung store. It feels like a cheap 25000 phone literally.,1 day ago,1772556242.323743,0,False,,2026-03-04 22:14:02
UgyosnpK20SVcmhtSvJ4AaABAg,@ajayrayrawat1864,"1:04 now troll it like you did to apple, got balls?😂😂😂😂",1 day ago,1772556242.328451,0,False,,2026-03-04 22:14:02
UgyGn38T7hDpyGvs-bF4AaABAg,@H-banGG,"It's confirmed to be 8bit, not 10",1 day ago,1772556242.33057,7,False,,2026-03-04 22:14:02
UgwSvvXowwyeqd2pHlx4AaABAg,@AnujGakhar007,All these so-called creators and Influencers have eaten money from samsung and just shitting around,1 day ago,1772556242.33347,0,False,,2026-03-04 22:14:02
UgxQKbkGM0DyHIBMICh4AaABAg,@riteshkundu9980,Make a video on Galaxy buds 4 pro,1 day ago,1772556242.336205,0,False,,2026-03-04 22:14:02
Ugx782_JFaWK0X9v8994AaABAg,@vishalraval396,S26 ultra ❌ s25 ultra privacy display edition,1 day ago,1772556242.338259,1,False,,2026-03-04 22:14:02
Ugwqrc6nryzZwaTPlbZ4AaABAg,@rjstreams,"Samsung is great but S26U seems no major updates in cameras, S Pen and battery 🔋 😅. 
Privacy display  is the only usp.",1 day ago,1772556242.341991,0,False,,2026-03-04 22:14:02
UgyG8Oa1SwFHNLMGa5V4AaABAg,@tayzar4452,I don't really see yet a signal videos of dropp test for S26 series???,1 day ago,1772556242.345628,2,False,,2026-03-04 22:14:02
UgzFTbYlHk_u0oaeLSx4AaABAg,@lalitbhati7157,Most boring Samsung Ultra Launch ever.,1 day ago,1772556242.349509,0,False,,2026-03-04 22:14:02
UgzP9BkxlJrstTZtP4B4AaABAg,@social_eye_opener,Bro compare in detail with a new s23 ultra,1 day ago,1772556242.351606,0,False,,2026-03-04 22:14:02
Ugytu9XxRk-X7uAZfLB4AaABAg,@EarnFromEverything,Nice paid video,1 day ago,1772556242.354655,0,False,,2026-03-04 22:14:02
UgxhCQj-uvIDkH5SfL94AaABAg,@SidharathVashisht,Underwhelming phone,1 day ago,1772556242.3572,0,False,,2026-03-04 22:14:02
Ugwljh0mBxWylBzfTVd4AaABAg,@askrazzy4,Will s25ultra get avp codec n horizon lock feature by software update ?,1 day ago,1772556242.362059,0,False,,2026-03-04 22:14:02
