rating,title,review_text
5,Worth every penny,"Super phon Battery super camera nic and performance super READ MORE Pradeep Prabha Certified Buyer , Hyderabad 1 month ago 1 0 Permalink Report Abuse"
5,Highly recommended,"Product process and mobile phone is ok But tempered glass is difficult to manage Kindly is it usage application READ MORE Aps 1245 Certified Buyer , Tiruppur District 3 months ago 1 0 Permalink Report Abuse"
5,Classy product,"Product is good and value fore maney and battery backup up to 2days on full charge READ MORE Satyananda Nayak Certified Buyer , Mangalore 8 months ago 41 8 Permalink Report Abuse"
4,Worth the money,"Single speaker, its ok for normal vdo watching or listening song, you can not experience a good vibe, it is average. Camera is good, in normal photo mod picture are more AI polished, portrait photo is awesome. Front camera is good. Battery serv complete one day if you onces fully charged with using whole day, And in ideal mode it may be lasting at least 2 days. Performance is good for now, no hang no leg. Display no comments. Awesome. In my opinion if prices range not more than 20k it s... READ "
4,Worth the money,"The product is very nice, really I Love this mobile, but the issue on this mobile is 1 Heating problem 2 At first its battery is standard but after few days its batter do not standard... BUT FOR THE PART TIME GAMER , THIS MOBILE IS PERFECT... READ MORE sankarrao Donkina Certified Buyer , Jangareddigudem 6 months ago 10 1 Permalink Report Abuse"
5,Great product,This is a nice phone . And its performance is outstanding. READ MORE Tirtha Saha Certified Buyer 7 months ago 12 2 Permalink Report Abuse
5,Good quality product,"Nice phone at this price range Poli saanam READ MORE Joshi Vr Certified Buyer , Nattakam 7 months ago 11 2 Permalink Report Abuse"
5,Terrific,"Display 4.5 design 4.4 camera 4.3 performance 4.6 Battery 4.7 READ MORE Raj kumar Kisku Certified Buyer , Dumka 8 months ago 15 4 Permalink Report Abuse"
4,Worth the money,"Mobile is good performance is very smooth Network connectivity is very good Dual Stereo speakers needed. heating issue during charging Fast charging is good as per 7300mah big battery Camera is average 54.3 Battery backup 2day for normal users 54.9 Device build quality is poor ...back panel is plastic But mobile is good value for money READ MORE Naresh Zala Certified Buyer , Gidc Savli 6 months ago 7 1 Permalink Report Abuse"
5,Mind-blowing purchase,"Good phone at this price range. And amazing battery backup READ MORE Flipkart Customer Certified Buyer , Nileshwar 4 months ago 3 0 Permalink Report Abuse"
5,Brilliant,"Camera too good Performance so good Display okk okk. Exp READ MORE Flipkart Customer Certified Buyer , Munger 8 months ago 8 3 Permalink Report Abuse"
4,Nice product,"The camera could be better since its a SONY IMX882. Battery backup and charging is excellent2 days if not gaming Gaming can be done smoothly. The build quality is very good. READ MORE Flipkart Customer Certified Buyer , Ghaziabad 2 months ago 2 0 Permalink Report Abuse"
