rating,title,review_text,TextBlob_Label,TextBlob_Score,VADER_Label,VADER_Score,BERT_Label,BERT_Score
5,Awesome,"Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on iPhone 15. Nikhil Kumar , Meerut Division Jan, 2024",Positive,1.0,Positive,0.5106,POSITIVE,0.9998034834861755
5,Fabulous!,"So beautiful, so elegant, just a vowww Akshay Meena , Jaipur Nov, 2023",Positive,0.675,Positive,0.8595,POSITIVE,0.9997476935386658
5,Wonderful,"Amezing camera and all over best phone Neeraj Chouhan , Shajapur Nov, 2024",Positive,1.0,Positive,0.6369,NEGATIVE,0.6827733516693115
5,Fabulous!,"Awesome Thakur Surya Pratap Singh , Hanumana Gold Reviewer Jan, 2025",Positive,1.0,Positive,0.6249,POSITIVE,0.9993618130683899
5,Worth every penny,"Awesome photography experience. Battery backup is good . Display is much better than 14 version. Flipkart Customer , Aizawl Jan, 2024",Positive,0.7333333333333334,Positive,0.872,POSITIVE,0.9992480874061584
4,Good choice,"Very nice Mousam Guha Roy , Matialihat Oct, 2023",Positive,0.78,Positive,0.4754,POSITIVE,0.9996482133865356
5,Mind-blowing purchase,"High quality camera Ajin V , Balaghat Oct, 2023",Positive,0.16,Neutral,0.0,POSITIVE,0.998594343662262
5,Excellent,"Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life. 60Hz display is a dealbreaker for some.Its not... Arunji Govindaraju , Chennai Feb, 2024",Positive,0.6666666666666666,Positive,0.9796,POSITIVE,0.9990560412406921
5,Must buy!,"Using this Iphone 15 from 1month and it has best Camera Flipkart Customer , Agartala Apr, 2024",Positive,1.0,Positive,0.6369,POSITIVE,0.9989987015724182
5,Just wow!,"Camera Quality Is Improved Loving It Prithivi Boruah , Bokajan Oct, 2023",Positive,0.6,Positive,0.7906,POSITIVE,0.9998070597648621
4,"2,71,652 Ratings","9,486 Reviews 2,13,302 34,160 12,059",Neutral,0.0,Neutral,0.0,POSITIVE,0.9598821401596069
5,Just wow!,"Awesome Rishabh Jha , Tikamgarh Apr, 2024",Positive,1.0,Positive,0.6249,POSITIVE,0.9995044469833374
5,Worth every penny,"Just loved the product , colour , design is wow and camera is amazing , just clicked first picture of my grandmother in portrait mode and results r here in front of you guys Kriti Customer , Sarkaghat Feb, 2024",Positive,0.4125,Positive,0.91,POSITIVE,0.9998202919960022
5,Brilliant,"Loved it Sunny Patel , Aurangabad Feb, 2024",Positive,0.7,Positive,0.7717,POSITIVE,0.9997674822807312
5,Highly recommended,"I love this phone. The camera is amazing its I am so happy Talim sk , Sikar Dec, 2023",Positive,0.6333333333333334,Positive,0.9292,POSITIVE,0.9998683929443359
5,Worth every penny,"Just go for it.Amazing one.Beautiful camera with super fast processor bijaya mohanty , Baleshwar May, 2024",Positive,0.26666666666666666,Positive,0.5994,POSITIVE,0.9998693466186523
5,Awesome,"Simply premium. Saurabh Gothwad , Paradip Sep, 2023",Neutral,0.0,Neutral,0.0,POSITIVE,0.9989853501319885
4,Worth the money,"Best mobile phone Camera quality is very nice Battery backup is very good Sound quality is amazing. Sheetla Prasad Maurya , Sultanpur Oct, 2023",Positive,0.738,Positive,0.9359,POSITIVE,0.999786913394928
5,Brilliant,"Totally happy! Camera 5 Battery 5 Display 5 Design 5 Rahul Shedge , Satara Oct, 2023",Positive,1.0,Positive,0.6468,POSITIVE,0.9998310804367065
5,Great product,"best camera and battery is also very good In love with dynamic Island Type-c charging is very fast. Overall best phone AYUSH singh , Dehradun Nov, 2023",Positive,0.5242857142857142,Positive,0.9621,POSITIVE,0.999631404876709
5,Classy product,"Nice mohit yadav , Mumbai Nov, 2023",Positive,0.6,Positive,0.4215,POSITIVE,0.9990703463554382
4,Wonderful,"Nice product Flipkart Customer , Darjiling District May, 2024",Positive,0.6,Positive,0.4215,POSITIVE,0.9989526271820068
5,Super!,"A Perfect Smartphone Amit Biswas , Burdwan Jun, 2024",Positive,1.0,Positive,0.5719,POSITIVE,0.9979798197746277
5,Simply awesome,"for me its 10 out of 10 Raj Singh , Kolkata Dec, 2023",Neutral,0.0,Neutral,0.0,POSITIVE,0.9847208857536316
4,Value-for-money,"Nice photo Kesab Pradhan , Mumbai Aug, 2024",Positive,0.6,Positive,0.4215,POSITIVE,0.9996575117111206
5,Worth every penny,"Great! Sandip Mandal , Jabalpur Feb, 2024",Positive,1.0,Positive,0.6588,POSITIVE,0.9997569918632507
4,Value-for-money,"Nice phone good VinodKUMAR VinodKUMAR , Ganganagar District Mar, 2024",Positive,0.6499999999999999,Positive,0.6908,POSITIVE,0.9976993203163147
5,Just wow!,"Thanks Flipkart I m glad such a beautiful iPhone 15 Afzol Hussain , Hojai Mar, 2024",Positive,0.38749999999999996,Positive,0.8689,POSITIVE,0.9991890788078308
5,Excellent,"Only 90fps is need And best phone of the year goes to this phone Anwar Customer , Parasi Jan, 2024",Positive,0.5,Positive,0.6369,NEGATIVE,0.5239855051040649
5,Must buy!,"I am so happy.... Oindrila Chatterjee , Kolkata Dec, 2024",Positive,0.8,Neutral,0.0,POSITIVE,0.9998676776885986
5,Super!,"Great experience Khushboo Verma , Chandigarh Dec, 2024",Positive,0.8,Positive,0.6249,POSITIVE,0.9970628619194031
4,Really Nice,"Awesome camra quality superb camra Ankit Verma , Mohammadabad Ghazipur District Oct, 2023",Positive,1.0,Positive,0.8481,POSITIVE,0.9997439980506897
5,Classy product,"Awesome quality I am very happy. Thank you Flipkart. Zeeshan Khan , Bareilly Dec, 2023",Positive,1.0,Positive,0.8973,POSITIVE,0.9998857975006104
5,Classy product,"Awesome Bhaskar Sharma , Chittoor District Feb, 2024",Positive,1.0,Positive,0.6249,POSITIVE,0.9976223111152649
5,Perfect product!,"Camera quality top notch Dev Kumar , New Delhi Oct, 2023",Positive,0.3181818181818182,Positive,0.2023,POSITIVE,0.9997062087059021
5,Best in the market!,"Simply Awesome Suman Jain , Mumbai Sep, 2023",Positive,1.0,Positive,0.6249,POSITIVE,0.9998151659965515
5,Simply awesome,"The photos clicked with the mobile just seems awesome and lively!! Dipanjan Saha , Bhadreswar Sep, 2024",Positive,0.6065340909090909,Positive,0.8217,POSITIVE,0.9998414516448975
5,Great product,"Awesome phone powerful performance and battery backup are also very good no heating issue SONAL PAL , Habra Oct, 2023",Positive,0.7366666666666667,Positive,0.8232,POSITIVE,0.9995747208595276
