rating,title,review_text,date,city,TextBlob_Label,TextBlob_Score,VADER_Label,VADER_Score,BERT_Label,BERT_Score
4,"2,05,719 Ratings","6,583 Reviews 1,63,435 24,703",,,Neutral,0.0,Neutral,0.0,POSITIVE,0.9407995343208313
5,Mind-blowing purchase,Super and cool photo,Mar 2025,Uttara Kannada District,Positive,0.3416666666666667,Positive,0.7351,POSITIVE,0.9998801946640015
5,Terrific,Such an great experience,Oct 2025,,Positive,0.4,Positive,0.6249,POSITIVE,0.9998594522476196
5,Mind-blowing purchase,with unbeatable video performance. Tip-top performance A18 Chip. best value offering.,Nov 2025,Agra,Positive,1.0,Positive,0.765,POSITIVE,0.9973549842834473
5,Wonderful,such a beautiful color,Oct 2025,Koraput,Positive,0.425,Positive,0.5994,POSITIVE,0.9998795986175537
5,Brilliant,Doing good as of now!,May 2025,Agartala,Positive,0.875,Positive,0.4926,POSITIVE,0.9998487234115601
5,Just wow!,Value for money sarath kumar,Oct 2025,Kochi,Neutral,0.0,Positive,0.34,POSITIVE,0.9905074834823608
5,Mind-blowing purchase,"Best phone, best feature charge, best performance, I love this iPhone 16.",Jul 2025,Bangaon,Positive,0.875,Positive,0.9571,POSITIVE,0.9994850158691406
5,Wonderful,Love the quality of pics it takes Ghosh,Nov 2025,Chakapara,Positive,0.5,Positive,0.6369,POSITIVE,0.9998468160629272
5,Awesome,"Compact, easy to carry. Like it",May 2025,Sibsagar,Positive,0.43333333333333335,Positive,0.6597,POSITIVE,0.9998472929000854
5,Best in the market!,iOS is always amazing.,Oct 2024,Thane,Positive,0.6000000000000001,Positive,0.5859,POSITIVE,0.9998774528503418
5,Just wow!,Fell in love with the colour sai kumar,Apr 2025,Rangareddy,Positive,0.5,Positive,0.6369,POSITIVE,0.998893678188324
4,Delightful,Everything is fine except the battery should have been lasting longer and the new camera button Felt useless,Apr 2025,New Delhi,Positive,0.013257575757575746,Negative,-0.25,NEGATIVE,0.9991093277931213
5,Best in the market!,Got it in just look awesome,Jun 2025,Kashipur,Positive,1.0,Positive,0.6249,POSITIVE,0.9998646974563599
5,Best in the market!,Finally I got it and love it,Jan 2025,Noida,Positive,0.25,Positive,0.6369,POSITIVE,0.9998812675476074
5,Perfect product!,Awesome product ashwin roy,Oct 2024,Kalamassery,Positive,1.0,Positive,0.6249,POSITIVE,0.9998619556427002
5,Awesome,Great experience with great camera,Apr 2025,Rupnagar District,Positive,0.8,Positive,0.8481,POSITIVE,0.9998769760131836
5,Simply awesome,Govinda kumar Choudhary,Apr 2025,Patna,Neutral,0.0,Neutral,0.0,POSITIVE,0.9971279501914978
5,Perfect product!,Recently changed a smooth ui and best experience,Jan 2025,New Delhi,Positive,0.4666666666666666,Positive,0.6369,POSITIVE,0.9954360127449036
5,Just wow!,Upgraded 12mini Good battery life and performance Ultramarine the best one,May 2025,Nagaon,Positive,0.85,Positive,0.7964,POSITIVE,0.9994381070137024
5,Super!,One of the best phone.,Aug 2025,Patna Division,Positive,1.0,Positive,0.6369,POSITIVE,0.9998133778572083
5,Terrific purchase,"Bought the phone solely for battery performance and assuming camera of iPhones are always good. A bit of disappointment as I switched S22 Plus which offered great screen quality, excellent camera and Galaxy did wonders while iPhone 16 is not performing as expected in terms of battery and camera quality. 1. Touch screen 2. 3. Light weight",Jan 2025,Pune District,Positive,0.36666666666666664,Positive,0.8126,NEGATIVE,0.9452542662620544
5,Awesome,Mind blowing pictures,Jul 2025,North Twenty Four Parganas District,Neutral,0.0,Neutral,0.0,POSITIVE,0.9974422454833984
5,Classy product,received via Flipkart. Everything is perfect about this phone except battery backup. I think need to work on battery. amit kaundal,Mar 2025,Chandigarh,Positive,1.0,Positive,0.5719,POSITIVE,0.9847714304924011
5,Terrific,Everything is fantastic go for it,Aug 2025,Hyderabad,Positive,0.4,Positive,0.5574,POSITIVE,0.999884843826294
5,Highly recommended,like it feel premium,Jan 2025,Bhubaneswar,Neutral,0.0,Positive,0.3612,POSITIVE,0.9993189573287964
5,Wonderful,Just wow its worth the price,Oct 2024,Barjora,Positive,0.2,Positive,0.6908,POSITIVE,0.9997624754905701
5,Super!,My wife 1st i phone thank you,Apr 2025,New Delhi,Neutral,0.0,Positive,0.3612,POSITIVE,0.9995162487030029
4,Horrible,Battery gets drain in 6-7 hr with even just normal uses. Dont buy this phone. I got frustrated with this issue. Rishabh raj,Jun 2025,Noida,Negative,-0.27499999999999997,Negative,-0.5267,NEGATIVE,0.9989732503890991
5,Just wow!,and Bank offer on Flipkart.,Sep 2024,Noida,Neutral,0.0,Neutral,0.0,NEGATIVE,0.9177334904670715
5,A Great upgrade 12!,"Upgraded to the 16 12 and it is a great phone. looks and feels sooo good. The photos dont do enough justice to this variant. You definitely do not need to upgrade to this if you are having a 14 or a 15, unless is something that you do not want to live without. Camera is great, though not very sure of the thing, cuz all that is pretty much available on-screen . Also, got a great deal on the exchange and bank offer, so zero co...",Sep 2024,Bengaluru,Positive,0.3694055944055944,Positive,0.9511,POSITIVE,0.9467346668243408
5,Must buy!,Awesome product K,Oct 2024,Bengaluru,Positive,1.0,Positive,0.6249,POSITIVE,0.9998630285263062
